,FlightNumber
235,DFW_BTR_66093
236,DCA_ORD_68385
237,IAH_MEM_66310
238,ATL_ORD_99788
239,ATL_MEM_103738
240,TVC_DTW_73176
241,CID_CVG_79265
242,SAN_SFO_95007
243,CAE_IAH_61968
244,BDL_PHL_69442
245,AVL_CVG_93061
246,SEA_SFO_61192
247,IND_IAH_93122
248,ABE_CLE_90600
249,BOS_LGA_60354
250,BOS_LGA_57095
251,MEM_ATL_68272
252,ATL_MEM_99110
253,LAS_LAX_100053
254,DTW_PIT_83952
255,AUS_MAF_92450
256,RIC_ATL_63379
257,CLE_EWR_70907
258,LBB_AUS_85920
259,SAN_SMF_71336
260,CLE_EWR_61281
261,OMA_DFW_69576
262,SNA_PHX_81298
263,TVC_DTW_78193
264,TPA_DFW_89747
265,HVN_CVG_80680
266,DCA_BOS_70143
267,BTV_CLE_81281
268,SNA_PHX_66716
269,CLT_IAH_91324
270,APF_ATL_96915
271,AVL_CVG_65329
272,GRB_CVG_70002
273,BOS_JFK_101797
274,SGF_CVG_76572
275,LAX_LAS_63207
276,MEI_ATL_68413
277,GSO_BOS_83861
278,TYS_IAD_94444
279,GPT_IAH_83850
280,ORF_EWR_95350
281,GRB_CVG_75826
282,GPT_IAH_101466
283,ORD_LAX_59962
284,CMH_IAH_75411
285,MSP_DEN_91873
286,MRY_LAX_75903
287,BUF_DTW_73148
288,LGA_CVG_84201
289,LEX_IAH_101192
290,TUL_STL_57515
291,MDT_CLE_75616
292,BTV_CLE_90075
293,BOS_CLE_101244
294,FNT_ATL_59977
295,BGR_EWR_91223
296,BDL_RDU_89387
297,DTW_EWR_84289
298,IAD_CLT_77717
299,ONT_OAK_88477
300,LAS_LAX_91138
301,DCA_CLE_59081
302,XNA_IAH_100379
303,BNA_CVG_93147
304,ORD_CVG_71046
305,MSP_ORD_80406
306,OAK_SNA_99801
307,DFW_ORD_62541
308,DAY_IAH_75149
309,ABE_ATL_105100
310,MAF_DFW_97432
311,SEA_PHX_87588
312,DTW_LGA_93092
313,XNA_DFW_84540
314,HVN_CVG_83941
315,CMH_MSP_89277
316,PHL_DTW_83862
317,PVD_CVG_77149
318,JAN_IAH_71435
319,MRY_LAX_105258
320,GRB_DTW_82155
321,CLT_CVG_100796
322,BDL_PHL_80775
323,SYR_EWR_91040
324,BDL_PHL_70109
325,BUR_OAK_64949
326,CVG_CLE_74150
327,ORF_MDW_77116
328,ORF_MDW_99350
329,ONT_OAK_97819
330,MEM_ORD_85773
331,BHM_CVG_101073
332,MEM_ORD_70603
333,ACK_EWR_81122
334,MEM_IAH_96198
335,ORF_MDW_88512
336,PHX_ABQ_62504
337,PHX_SAN_63041
338,BNA_IAH_60814
339,DFW_STL_59032
340,BNA_IAH_89196
341,RDU_BDL_82161
342,EWR_MSP_67066
343,CMH_IAH_58237
344,CVG_MEM_76624
345,ORD_CLE_97355
346,BOS_EWR_93927
347,LAN_MSP_92483
348,AMA_DFW_94105
349,LGA_ATL_58662
350,MBS_MSP_97848
351,DFW_LAX_64410
352,CMH_MSP_98977
353,EWR_CLT_85759
354,PHL_DTW_82184
355,TPA_IAD_75620
356,SRQ_ATL_82731
357,DFW_HOU_102392
358,SBN_CLE_98216
359,ATL_PNS_86466
360,BHM_DFW_58077
361,TUL_IAH_72277
362,DCA_MIA_100447
363,BTR_IAH_70491
364,CLE_STL_62031
365,ATL_IAD_88362
366,TPA_IAH_63961
367,DCA_MIA_76906
368,OMA_STL_69947
369,CMH_LAS_68209
370,RDU_IAH_91343
371,IAH_LAS_57114
372,PHL_ORD_85292
373,CLE_STL_77669
374,BWI_BOS_92189
375,SGF_DFW_101336
376,GRR_IAH_78485
377,LGA_ORD_89247
378,MDW_ATL_89146
379,MSP_LAS_94825
380,FAT_LAS_80495
381,ORF_ATL_99208
382,DTW_PVD_102466
383,DTW_BWI_71458
384,PVD_CVG_79968
385,BUF_IAD_65130
386,IAD_ATL_77265
387,CMH_MSP_95276
388,EWR_MEM_102442
389,BTV_PHL_93034
390,RDU_BOS_100596
391,GSO_EWR_93593
392,ATL_MCO_95685
393,PDX_SFO_87052
394,PIA_DFW_96054
395,EWR_RDU_61685
396,MDW_ATL_62835
397,AUS_LBB_97090
398,MDW_ATL_79960
399,IND_DFW_99668
400,PHX_SNA_88633
401,JAX_IAH_56972
402,ROA_ATL_62840
403,BUR_PHX_81621
404,OAK_PHX_103464
405,OAK_LAS_64783
406,IAD_ATL_92988
407,SAN_LAS_104526
408,MSO_SLC_100135
409,ALB_IAD_88146
410,FLL_CLT_73518
411,DFW_MSP_88736
412,ATL_GSO_101740
413,LFT_ATL_70662
414,DFW_LAS_67445
415,GSP_DFW_84235
416,ROC_ATL_102733
417,RDU_EWR_57891
418,CLT_MIA_87203
419,PSP_SFO_77781
420,MDW_MSP_90466
421,LGA_CLT_65057
422,TPA_ATL_64494
423,TPA_ATL_67339
424,MSP_ORD_100054
425,ORD_MSP_74903
426,MSP_ORD_64150
427,MEM_DFW_65149
428,SJC_SAN_94974
429,CAE_IAD_76625
430,MEM_IAH_101537
431,MDW_OMA_98556
432,MKE_CLE_97803
433,PVD_MDW_95156
434,HOU_LAS_93145
435,ROC_ORD_59312
436,FAT_SLC_100976
437,LAX_FAT_95165
438,MKE_CLE_76825
439,DAL_ELP_73934
440,PIT_ORD_59868
441,DCA_IAH_84824
442,EWR_HSV_74755
443,LAX_FAT_83709
444,LGA_MCI_98895
445,PBI_CLT_96536
446,MSY_ATL_80916
447,DFW_LAS_60628
448,PDX_SJC_97691
449,CMH_MEM_74438
450,GSP_ATL_90447
451,DCA_ATL_98010
452,EWR_ATL_73108
453,CLE_MSP_100762
454,PNS_ATL_96816
455,MHT_BNA_83916
456,MAF_ABQ_71225
457,CLE_MSP_75155
458,OAK_ONT_102887
459,FCA_SLC_76099
460,BOS_STL_92553
461,MCO_ATL_81751
462,JFK_FLL_66836
463,DCA_IAH_68989
464,HPN_CLE_90613
465,ISP_ATL_61849
466,MCO_MIA_67788
467,MCO_MIA_60129
468,MCO_MIA_70028
469,MCO_MIA_67090
470,LGA_DCA_99669
471,TYS_TPA_97581
472,MDW_MSP_66270
473,ATL_LGA_95022
474,AUS_DFW_71691
475,PHL_MIA_100776
476,STL_MEM_73157
477,ATL_STL_97075
478,ATL_STL_79012
479,TUL_ORD_77918
480,AEX_ATL_76366
481,PHX_DEN_70800
482,CLT_PHL_93490
483,ALB_PHL_58261
484,BNA_ATL_78945
485,DSM_ORD_82142
486,ORF_IAH_71386
487,ATL_MDW_58723
488,BWI_SDF_74291
489,BWI_SDF_104072
490,ROC_ORD_63417
491,RIC_EWR_97572
492,LAX_SMF_99808
493,SJC_SEA_86939
494,BWI_MCO_95556
495,ATL_DCA_97633
496,SAN_LAS_103208
497,PHX_LAX_89292
498,DFW_CLL_86292
499,PHX_LAX_75715
500,SEA_SMF_80213
501,LGA_IAH_90593
502,BOS_ORD_90001
503,RDU_BDL_59073
504,TPA_ATL_60148
505,TPA_ATL_85190
506,MIA_CLT_95807
507,DEN_RAP_100902
508,ORD_XNA_99075
509,SEA_SMF_59140
510,FLL_ATL_84670
511,SFO_SNA_68501
512,JAX_PHL_78277
513,DTW_ORD_72538
514,BTV_PHL_105324
515,CVG_DTW_90942
516,BDL_ATL_90815
517,BWI_MIA_75389
518,BWI_MIA_75505
519,BOS_EWR_62133
520,EWR_BOS_80626
521,RDU_MDW_88825
522,TVC_ORD_100999
523,MDW_BNA_73295
524,MDW_BNA_102009
525,IAD_MCO_97835
526,RDU_MDW_59680
527,TYS_TPA_88802
528,GSP_DFW_82560
529,TUL_HOU_76042
530,ATL_JFK_58155
531,BOS_RDU_75765
532,BWI_ORD_62213
533,TUS_LAX_89925
534,DFW_LAS_59173
535,CVG_EWR_80880
536,AUS_LBB_71832
537,RIC_ORD_79754
538,AZO_ATL_82548
539,SEA_SJC_66029
540,PDX_SJC_97104
541,ORD_EVV_75649
542,MCI_ORD_77434
543,IAD_MIA_90797
544,MCI_BNA_59313
545,ATL_TPA_63686
546,CMH_DCA_76440
547,CHS_PHL_71088
548,PHL_FLL_71716
549,CHS_PHL_81980
550,PHL_FLL_57380
551,DTW_LAS_71309
552,BOS_CMH_88390
553,ORD_IAD_59731
554,SNA_OAK_91362
555,ORD_EVV_76408
556,CVG_BDL_67673
557,MSP_MCI_100654
558,DTW_ORD_73755
559,DTW_ORD_89426
560,SEA_SMF_81303
561,BNA_DFW_58311
562,BUF_ORD_67033
563,EWR_PIT_62468
564,OMA_PHX_57412
565,ATL_MDW_101824
566,CLT_MSY_89505
567,LAS_RNO_88605
568,DFW_MSP_104055
569,ALB_ATL_72865
570,LGA_CLT_99361
571,CLT_ORD_88821
572,MSP_MEM_73444
573,PBI_ATL_102917
574,PBI_ATL_102832
575,MSP_MEM_57831
576,MCO_PHL_58316
577,CVG_LGA_92748
578,ATL_RSW_67164
579,DFW_LAX_79278
580,IAD_BNA_101351
581,SEA_SAN_101001
582,DFW_SAN_96309
583,ISP_ATL_93858
584,ATL_CHS_73042
585,MDW_PHX_105179
586,ORD_DFW_93325
587,FWA_ATL_82867
588,BUF_PHL_99851
589,SLC_RNO_100225
590,OAK_PDX_103703
591,TPA_AUS_90123
592,GTF_SLC_71233
593,ATL_MSY_98728
594,MSP_MDW_78437
595,MSY_SFO_87432
596,FSM_DFW_89528
597,PHX_RNO_99382
598,LAS_LAX_74662
599,SBN_ATL_61043
600,JFK_MIA_91597
601,RSW_ORD_58014
602,BOS_DFW_71555
603,DFW_TUL_94562
604,LGA_MIA_78552
605,ONT_PHX_95318
606,ATL_DFW_94614
607,CLE_ORD_63470
608,BUF_PHL_62355
609,DFW_SAN_78799
610,EWR_MDW_77233
611,ORD_ATL_71557
612,MLU_ATL_83174
613,LGA_FLL_71924
614,CVG_LGA_103820
615,SLC_SFO_79708
616,BWI_CLE_80048
617,JAX_ORD_57791
618,IAH_DFW_98860
619,RDM_SFO_86080
620,IAH_DEN_88240
621,PHL_ATL_84611
622,JFK_TPA_79949
623,JAX_ORD_91002
624,ATL_EWR_65839
625,EUG_SLC_98690
626,PHL_RIC_94228
627,PDX_SAN_67699
628,ORD_LAX_80694
629,IAH_GPT_59694
630,PHL_FLL_104482
631,ORD_LGA_77400
632,ATL_MEI_105242
633,SLC_TUS_87814
634,RNO_DEN_59473
635,PIT_MIA_103032
636,PIT_MIA_97356
637,EWR_BUF_70826
638,IAH_DEN_66803
639,MCO_CAE_100410
640,BWI_TPA_81134
641,OAK_SAN_82124
642,TPA_HOU_74341
643,BOS_MDW_96251
644,EWR_JAX_80364
645,BWI_MDW_57726
646,BUR_SMF_73491
647,PHL_DTW_62715
648,SAN_PHX_92122
649,MDW_CMH_102405
650,RDM_SLC_82227
651,BOS_LGA_68289
652,MCO_DCA_66343
653,SBA_SLC_86173
654,BWI_CVG_59284
655,ATL_SAT_73501
656,DTW_IND_71887
657,DEN_PHX_97438
658,ORD_ATL_103793
659,DFW_LAX_92401
660,IAH_SNA_96143
661,PHF_BOS_102382
662,PHX_SJC_79298
663,CVG_IAD_86753
664,LGA_MDW_99984
665,BOI_SLC_102495
666,MLI_CVG_61829
667,ATL_TLH_57649
668,ATL_OKC_74801
669,SDF_MDW_65136
670,XNA_ORD_78289
671,MDW_DTW_104588
672,PDX_SLC_65394
673,ATL_BWI_94543
674,CVG_MDT_98308
675,MDW_LGA_82756
676,SAN_OAK_89573
677,GSP_LGA_81422
678,BNA_BWI_93019
679,MSY_IAH_91820
680,ATL_HOU_72521
681,DAY_ORD_66077
682,CLE_PHL_92807
683,SAN_PHX_79704
684,CMH_DCA_95481
685,PVD_ATL_100566
686,PDX_SAN_72664
687,PHX_SMF_63315
688,CLT_MCO_61755
689,LGA_BOS_91886
690,DEN_SEA_61913
691,CVG_ATL_78063
692,LAS_LAX_62775
693,CVG_RIC_100092
694,TUL_CVG_67364
695,LWS_SLC_89455
696,PHL_ORD_60757
697,ATL_SLC_68871
698,MSO_DEN_75822
699,CLE_BDL_103327
700,MSN_MSP_86716
701,MSN_MSP_93960
702,EWR_ATL_67634
703,ATL_SRQ_89526
704,CLT_TPA_61384
705,IND_ATL_62674
706,ATL_TPA_92731
707,CVG_ORD_89600
708,CLE_ORD_76826
709,XNA_CVG_70613
710,MSY_DFW_79258
711,ATL_PIA_91221
712,SLC_OAK_69022
713,JAX_DCA_98149
714,LAX_DEN_97315
715,LAX_OAK_70660
716,DFW_BNA_98074
717,ELP_PHX_73002
718,MRY_SLC_62966
719,RNO_LAS_78563
720,MLI_CVG_105335
721,FLL_LGA_86995
722,BIL_DEN_97973
723,LAS_ABQ_91522
724,JAX_ORD_85850
725,OAK_PDX_101625
726,MCO_DFW_64495
727,MSP_IND_96530
728,TPA_PHX_68435
729,BUF_DFW_86306
730,EWR_DTW_93207
731,BZN_SLC_105627
732,TUS_DEN_95880
733,OKC_DEN_88122
734,SLC_GEG_67795
735,BUF_ATL_77032
736,MSY_LAX_85034
737,LAX_DEN_103616
738,ATL_IND_76405
739,BDL_PHL_66904
740,SLC_SAN_58946
741,CLT_DCA_72624
742,EWR_SYR_103973
743,DTW_PHX_74517
744,SDF_MDW_81904
745,PNS_TPA_58300
746,GTF_DEN_100307
747,ACV_SFO_67722
748,ATL_MKE_59368
749,ORD_BWI_78676
750,RDU_ORD_59113
751,STL_PHX_77405
752,SNA_PHX_95135
753,SJC_SLC_77755
754,CVG_DFW_79788
755,CVG_ROC_83062
756,MHT_ATL_65888
757,ORD_TYS_102407
758,ORD_TYS_74570
759,IND_PIE_59851
760,IND_LAX_84092
761,ACV_SFO_74260
762,ORD_MSP_80657
763,PIT_ATL_103439
764,EUG_SLC_72130
765,PDX_DEN_67245
766,EWR_ORD_104118
767,BNA_ORD_105676
768,MCO_LAX_79756
769,PWM_ATL_69690
770,RIC_EWR_87975
771,PWM_ATL_75924
772,BFL_SLC_78733
773,ATL_AUS_67956
774,EWR_ORF_87676
775,RNO_PDX_100192
776,SGF_DFW_85299
777,BIL_SLC_71368
778,ELP_HOU_69653
779,CVG_BNA_97262
780,PHX_SJC_73317
781,OAK_BUR_103567
782,DTW_ORD_85907
783,IAD_HSV_69909
784,BOS_ORD_68097
785,MKE_DTW_76854
786,DFW_ICT_104209
787,ORD_DTW_97023
788,ORD_DTW_81224
789,ATL_AUS_60837
790,MDW_DCA_86931
791,ATL_CAK_93541
792,LGA_ATL_72446
793,ATL_CAK_57989
794,BOS_ORD_62030
795,LGA_ATL_57395
796,DCA_BOS_78364
797,DTW_ORD_72561
798,MSP_ORD_88020
799,CLE_ATL_75326
800,COS_ORD_97653
801,LGA_RIC_72449
802,CLE_ORD_90269
803,ATL_ORD_90836
804,SAN_PHX_81735
805,BWI_MDW_64730
806,COS_ORD_95325
807,MDW_SEA_102760
808,CVG_SYR_76539
809,MCO_PHL_94483
810,FLL_PIT_87796
811,BWI_MCO_98885
812,PHL_MSY_85045
813,ORF_MIA_63355
814,LAS_PHX_56815
815,SNA_SJC_92441
816,ATL_DAY_87355
817,LAX_MRY_67045
818,COS_ORD_96102
819,JFK_PHX_68709
820,FAI_ANC_94312
821,PHL_ORD_103818
822,ORD_MEM_97967
823,MIA_DCA_91374
824,ORD_STL_98363
825,MIA_DCA_105052
826,IND_LGA_88919
827,BIL_MSP_94171
828,ORD_SFO_85660
829,PHL_LAS_82702
830,DEN_SEA_70752
831,DTW_GRB_64154
832,RSW_ATL_68906
833,LAX_PHX_100280
834,TPA_ATL_79798
835,MFR_PDX_59304
836,MSP_DTW_63345
837,LEX_LGA_76528
838,ATL_PHF_105522
839,IAH_ORD_63872
840,IAH_ORD_59761
841,LEX_LGA_96317
842,SDF_IAH_65020
843,IAD_BOS_98290
844,IAD_BOS_84117
845,STL_ATL_89885
846,LIT_DAL_94280
847,BDL_ORD_88336
848,AUS_ELP_104692
849,PHX_ABQ_86816
850,ONT_SMF_69782
851,ORD_FSD_92795
852,SEA_DEN_105602
853,LIT_DAL_91614
854,ORD_LIT_75945
855,DEN_OMA_80371
856,LAX_PHX_75290
857,JAX_ORF_93876
858,AUS_SFO_72737
859,SFO_LAX_104049
860,ATL_IAD_82117
861,LGA_BOS_68772
862,GRB_DTW_94005
863,EWR_RDU_57147
864,XNA_DFW_80672
865,PHX_PDX_90296
866,LGA_DCA_84066
867,MFR_SFO_57203
868,BOS_LGA_102234
869,LAS_SFO_91666
870,PHX_PDX_77495
871,BWI_BOS_96406
872,RDU_LGA_91725
873,ATL_FLL_80464
874,CMI_DFW_66446
875,IND_PHX_57028
876,MIA_LGA_90276
877,BOS_DCA_74268
878,LAX_SEA_78242
879,JAX_BOS_79793
880,MCO_PVD_92416
881,LGB_SEA_74626
882,STL_DTW_86302
883,CVG_COS_77902
884,TPA_ATL_102848
885,GFK_MSP_94581
886,BWI_SFO_80741
887,LGA_ATL_65210
888,SFO_PHX_89814
889,MCO_LAX_75827
890,IAH_STL_90118
891,SEA_SFO_82440
892,IAH_STL_96466
893,BTR_DFW_85583
894,BOI_SFO_85900
895,MSP_DFW_71201
896,BTR_DFW_66215
897,PBI_CVG_98124
898,ORD_MEM_96468
899,ABQ_IAH_88260
900,ATL_CRW_93835
901,EWR_ROC_99834
902,DEN_ABQ_92948
903,DEN_IAH_73898
904,DEN_IAH_84052
905,BDL_MDW_70903
906,SLC_HLN_98326
907,HOU_JAN_81592
908,MDW_SDF_77059
909,OMA_CVG_77409
910,PDX_DEN_87860
911,PVD_CLT_80173
912,LIT_ATL_86392
913,JFK_TPA_62310
914,DEN_RAP_74640
915,ORD_MSP_62547
916,EWR_TPA_84617
917,LBB_IAH_101125
918,ORD_XNA_98655
919,DFW_AMA_101714
920,IAD_DTW_78836
921,DEN_RAP_91968
922,PHX_SLC_59629
923,IAH_CVG_96600
924,ORD_XNA_65795
925,SEA_LAX_65445
926,SLC_LAX_81552
927,MCO_SFO_73605
928,SMF_SAN_92080
929,BWI_PVD_78988
930,DEN_MCI_67951
931,XNA_ORD_102509
932,BWI_BOS_58749
933,FLL_JFK_98902
934,RIC_CLT_61482
935,LGA_GSO_85575
936,IAD_CLE_83084
937,SNA_SJC_100807
938,MEM_MCI_105090
939,HSV_CVG_91780
940,PDX_SFO_98935
941,DTW_LAS_85050
942,COS_IAH_99917
943,CVG_MCI_68598
944,TUS_IAH_68833
945,MCO_MSP_99317
946,ATL_JAN_90299
947,CVG_DSM_59118
948,IAH_SFO_63726
949,PHL_MCI_93017
950,FLL_EWR_81115
951,LAX_LAS_93632
952,PNS_ATL_63459
953,CAE_CVG_57446
954,PNS_ATL_91696
955,IAH_ORD_93613
956,JFK_IAD_60690
957,SHV_CVG_85909
958,PHX_DFW_65278
959,RDU_MDW_105556
960,EWR_PDX_103173
961,FLL_ISP_96922
962,SMF_SAN_72537
963,ATL_MEM_82696
964,STL_JFK_93332
965,MCI_ORD_79070
966,ORD_DEN_72589
967,STL_OMA_76302
968,TPA_CVG_86120
969,CMH_BWI_76248
970,PVD_ORD_99383
971,PHL_BOS_72038
972,RSW_CVG_75544
973,PIT_FLL_65429
974,EWR_BWI_102665
975,RSW_CVG_62132
976,PHL_ATL_85426
977,DFW_CVG_87260
978,ATL_FNT_68096
979,DFW_CLT_67626
980,EWR_FLL_85405
981,MGM_CVG_85272
982,CMH_MIA_72294
983,DFW_ORD_104655
984,ATL_ILM_83886
985,DEN_MTJ_67022
986,BOS_SLC_57927
987,DEN_MTJ_84048
988,FLL_ATL_82213
989,MCO_EWR_67057
990,MDW_PHX_98564
991,CVG_XNA_83328
992,BDL_ATL_75856
993,MSP_IAH_78371
994,CMH_BWI_87707
995,RDU_LGA_83570
996,SNA_DEN_67586
997,SJT_DFW_75284
998,BWI_IND_101972
999,PIT_ATL_67396
1000,MCO_EWR_96399
1001,CLT_SEA_84187
1002,PIT_ATL_86379
1003,ATL_PHL_85180
1004,MIA_SJU_62423
1005,CLT_LAS_104024
1006,DFW_IAH_98672
1007,ORD_DCA_98962
1008,ORD_BOS_94157
1009,DFW_LAS_104116
1010,RDU_LGA_67920
1011,DEN_SMF_63742
1012,ATL_MDW_85700
1013,DEN_SLC_93764
1014,BDL_CLT_66726
1015,DCA_EWR_58916
1016,DEN_SLC_65143
1017,MIA_ATL_56918
1018,ORD_SLC_75513
1019,SBA_SJC_63938
1020,CVG_DSM_76265
1021,ATL_PNS_79586
1022,BDL_CLT_71680
1023,EWR_SLC_83406
1024,BOS_JFK_81634
1025,DEN_DFW_101303
1026,ATL_LAS_62985
1027,MHT_MDW_104292
1028,EWR_DFW_91939
1029,JFK_MSY_89896
1030,SEA_OAK_63800
1031,ISP_RSW_75329
1032,LAS_SAN_94109
1033,MEM_DEN_87574
1034,PHX_SMF_61546
1035,EWR_MIA_79986
1036,HOU_ATL_64506
1037,DFW_BTR_101083
1038,ATL_EWR_61133
1039,LAS_PHX_101088
1040,EWR_ALB_94184
1041,MDW_LAS_76797
1042,CVG_CLE_75872
1043,HOU_ATL_98757
1044,BUF_CLT_80915
1045,MDW_DFW_98457
1046,MSP_IAH_90494
1047,MSY_MSP_100879
1048,MCO_DFW_68519
1049,ORD_LGA_100923
1050,CVG_CLT_102139
1051,ORD_DEN_98106
1052,JAN_CVG_56817
1053,MSP_IAH_94297
1054,PBI_DFW_101746
1055,PBI_DFW_66428
1056,SLC_JAC_60521
1057,ORD_TUL_57681
1058,TPA_HSV_87130
1059,RDU_MSP_78101
1060,ATL_SBN_63789
1061,DCA_CHS_69590
1062,ORD_FSD_61758
1063,JFK_BOS_82524
1064,XNA_DFW_87801
1065,LGA_DFW_98768
1066,DTW_STL_100293
1067,MRY_LAX_101577
1068,PIT_PHL_100605
1069,LAX_SFO_72276
1070,TOL_CVG_91535
1071,LAX_SFO_71240
