FlightNumber,Year,Month,DayofMonth,DayOfWeek,ScheduledDepTime,ScheduledArrTime,ScheduledTravelTime,Origin,Destination,Distance,ActualArrivalTimeStamp
XNA_DFW_51056,2004,7,14,3,1747,1858,71,XNA,DFW,281,14-07-2004 18:58
BUR_SEA_32681,2004,5,9,7,1759,2032,153,BUR,SEA,937,09-05-2004 20:32
ATL_IAD_38493,2004,11,19,5,1215,1400,105,ATL,IAD,533,19-11-2004 15:26
MRY_LAX_42862,2004,11,7,7,535,709,94,MRY,LAX,267,07-11-2004 07:09
RIC_CLT_38583,2004,3,7,7,615,727,72,RIC,CLT,256,07-03-2004 07:27
ATL_LGA_49616,2004,9,11,6,1430,1647,137,ATL,LGA,761,11-09-2004 18:44
OAK_BUR_38413,2004,9,8,3,835,940,65,OAK,BUR,325,08-09-2004 09:40
LGA_MDW_35925,2004,5,2,7,600,720,140,LGA,MDW,725,02-05-2004 07:20
LAX_SJC_29141,2004,5,29,6,1420,1525,65,LAX,SJC,308,29-05-2004 15:25
CVG_DCA_34714,2004,7,21,3,925,1050,85,CVG,DCA,411,21-07-2004 12:57
IAH_MAF_35960,2004,5,9,7,1430,1558,88,IAH,MAF,429,09-05-2004 15:58
ATL_DEN_47815,2004,7,5,1,850,1001,191,ATL,DEN,1199,05-07-2004 10:01
IAD_JFK_44724,2004,7,9,5,1235,1401,86,IAD,JFK,228,09-07-2004 14:01
IAH_JAN_55264,2004,11,1,1,1040,1200,80,IAH,JAN,351,01-11-2004 12:00
SLC_MSP_52005,2004,5,9,7,1755,2115,140,SLC,MSP,991,09-05-2004 21:15
SFO_LAX_47516,2004,3,19,5,1045,1207,82,SFO,LAX,337,19-03-2004 14:22
MSY_SFO_45369,2004,9,15,3,629,900,271,MSY,SFO,1911,15-09-2004 09:00
ORD_LAS_35138,2004,7,30,5,955,1148,233,ORD,LAS,1515,30-07-2004 11:48
LAS_SFO_48558,2004,9,3,5,1330,1457,87,LAS,SFO,414,03-09-2004 14:57
EWR_RSW_41360,2004,3,17,3,1100,1404,184,EWR,RSW,1068,17-03-2004 14:04
CLT_IAH_34844,2004,5,10,1,1730,1919,169,CLT,IAH,913,10-05-2004 19:19
BUR_SJC_31767,2004,5,19,3,705,815,70,BUR,SJC,296,19-05-2004 08:15
MSP_EWR_55041,2004,11,21,7,1648,2024,156,MSP,EWR,1008,21-11-2004 20:24
MDW_DFW_42548,2004,7,12,1,1019,1236,137,MDW,DFW,797,12-07-2004 12:36
RDU_DFW_31190,2004,11,16,2,806,1012,186,RDU,DFW,1062,16-11-2004 10:12
BUF_EWR_42560,2004,9,1,3,1245,1402,77,BUF,EWR,282,01-09-2004 14:02
DSM_CVG_46549,2004,5,1,6,530,806,96,DSM,CVG,505,01-05-2004 09:24
DFW_IAH_38255,2004,3,25,4,1723,1828,65,DFW,IAH,224,25-03-2004 21:15
LAS_CVG_26612,2004,11,8,1,1138,1819,221,LAS,CVG,1678,08-11-2004 18:19
MIA_DFW_33365,2004,9,26,7,1640,1842,182,MIA,DFW,1121,26-09-2004 18:42
ATL_BTR_35649,2004,9,2,4,815,853,98,ATL,BTR,449,02-09-2004 11:24
DTW_BNA_49561,2004,9,23,4,1532,1608,96,DTW,BNA,457,23-09-2004 16:08
ONT_SMF_40830,2004,11,21,7,700,820,80,ONT,SMF,389,21-11-2004 08:20
SYR_CVG_40398,2004,9,9,4,920,1058,98,SYR,CVG,527,09-09-2004 10:58
ROC_IAD_31995,2004,9,6,1,820,930,70,ROC,IAD,289,06-09-2004 09:30
TPA_LGA_55133,2004,7,29,4,1510,1750,160,TPA,LGA,1011,29-07-2004 17:50
IAH_MEM_54846,2004,5,11,2,1530,1657,87,IAH,MEM,469,11-05-2004 16:57
EWR_BOS_39872,2004,9,18,6,830,943,73,EWR,BOS,200,18-09-2004 09:43
MYR_CVG_42766,2004,7,28,3,1125,1303,98,MYR,CVG,489,28-07-2004 15:39
SEA_ANC_54417,2004,7,13,2,800,1039,219,SEA,ANC,1449,13-07-2004 10:39
DEN_SFO_25775,2004,9,14,2,1010,1150,160,DEN,SFO,967,14-09-2004 11:50
OKC_HOU_41145,2004,9,3,5,1010,1130,80,OKC,HOU,419,03-09-2004 11:30
BNA_JAX_50798,2004,11,12,5,1355,1615,80,BNA,JAX,484,12-11-2004 16:15
RDU_DFW_43514,2004,3,8,1,1649,1902,193,RDU,DFW,1062,08-03-2004 19:02
CLT_BNA_33660,2004,11,28,7,815,839,84,CLT,BNA,329,28-11-2004 11:22
TPA_CLT_28672,2004,11,10,3,1320,1453,93,TPA,CLT,508,10-11-2004 14:53
MCI_LGA_27148,2004,5,6,4,735,1115,160,MCI,LGA,1107,06-05-2004 11:15
CMH_CLT_47906,2004,3,13,6,745,859,74,CMH,CLT,346,13-03-2004 08:59
SMF_PDX_36299,2004,5,25,2,755,920,85,SMF,PDX,479,25-05-2004 09:20
ALB_ORD_48241,2004,7,4,7,1534,1649,135,ALB,ORD,723,04-07-2004 16:49
HOU_ATL_50089,2004,3,26,5,1030,1323,113,HOU,ATL,696,26-03-2004 13:23
PIT_ORD_33604,2004,11,10,3,1700,1754,114,PIT,ORD,412,10-11-2004 17:54
LAX_PHX_35921,2004,3,29,1,1546,1807,81,LAX,PHX,370,29-03-2004 18:07
DFW_ABQ_38435,2004,7,17,6,946,1032,106,DFW,ABQ,569,17-07-2004 10:32
OKC_HOU_47604,2004,9,28,2,835,950,75,OKC,HOU,419,28-09-2004 09:50
DEN_PHL_34021,2004,7,16,5,844,1410,206,DEN,PHL,1557,16-07-2004 14:10
BWI_BNA_39252,2004,11,4,4,730,825,115,BWI,BNA,588,04-11-2004 08:25
DEN_PHL_34221,2004,3,11,4,1110,1633,203,DEN,PHL,1557,11-03-2004 16:33
GRR_CVG_37963,2004,9,30,4,600,708,68,GRR,CVG,268,30-09-2004 07:08
BHM_TPA_48193,2004,7,12,1,1120,1340,80,BHM,TPA,460,12-07-2004 13:40
BUF_ATL_29106,2004,9,5,7,1250,1511,141,BUF,ATL,712,05-09-2004 15:11
PVD_IAD_34856,2004,11,27,6,955,1127,92,PVD,IAD,372,27-11-2004 11:27
PIE_MDW_36162,2004,1,2,5,1741,1918,157,PIE,MDW,999,02-01-2004 19:18
LAS_DFW_31338,2004,7,4,7,1156,1643,167,LAS,DFW,1055,04-07-2004 16:43
BUF_BWI_55122,2004,9,9,4,1755,1900,65,BUF,BWI,281,09-09-2004 21:01
DEN_ORD_52798,2004,7,13,2,857,1214,137,DEN,ORD,888,13-07-2004 12:14
FLL_DFW_37768,2004,7,13,2,1208,1411,183,FLL,DFW,1119,13-07-2004 14:11
SYR_EWR_30014,2004,11,12,5,1700,1804,64,SYR,EWR,194,12-11-2004 19:48
TUS_DFW_31516,2004,7,26,1,1210,1626,136,TUS,DFW,813,26-07-2004 16:26
SAN_JFK_37801,2004,5,23,7,1145,2005,320,SAN,JFK,2446,23-05-2004 20:05
LAS_SAN_31566,2004,5,2,7,1640,1742,62,LAS,SAN,258,02-05-2004 17:42
MIA_EWR_47453,2004,7,14,3,1100,1410,190,MIA,EWR,1086,14-07-2004 14:10
HSV_ORD_51856,2004,5,30,7,1756,1937,101,HSV,ORD,510,30-05-2004 19:37
CLT_JAX_39699,2004,11,25,4,1030,1150,80,CLT,JAX,329,25-11-2004 11:50
AUS_DFW_54029,2004,5,7,5,730,833,63,AUS,DFW,190,07-05-2004 11:17
CAK_CVG_33750,2004,9,14,2,800,902,62,CAK,CVG,214,14-09-2004 09:02
RNO_EKO_54692,2004,3,17,3,720,822,62,RNO,EKO,230,17-03-2004 08:22
DFW_ORD_26692,2004,9,2,4,1100,1316,136,DFW,ORD,802,02-09-2004 13:16
LGA_MSY_55544,2004,5,30,7,1105,1320,195,LGA,MSY,1183,30-05-2004 13:20
ONT_PHX_27012,2004,9,30,4,1605,1715,70,ONT,PHX,325,30-09-2004 17:15
ATL_AVP_31641,2004,9,27,1,1605,1819,134,ATL,AVP,714,27-09-2004 20:10
MEM_MCI_47723,2004,5,10,1,855,1023,88,MEM,MCI,392,10-05-2004 10:23
SLC_TUL_29548,2004,9,1,3,845,1200,135,SLC,TUL,926,01-09-2004 12:00
MHT_ATL_46694,2004,5,3,1,1550,1835,165,MHT,ATL,952,03-05-2004 20:20
CVG_AVP_39319,2004,7,8,4,1100,1232,92,CVG,AVP,499,08-07-2004 12:32
MHT_CVG_50438,2004,9,6,1,925,1133,128,MHT,CVG,741,06-09-2004 11:33
LAX_XNA_54608,2004,5,2,7,1635,2137,182,LAX,XNA,1371,02-05-2004 21:37
CMH_IAH_33533,2004,7,15,4,1445,1633,168,CMH,IAH,986,15-07-2004 16:33
EWR_ABQ_51716,2004,9,18,6,850,1150,300,EWR,ABQ,1805,18-09-2004 13:52
SJU_MCO_40133,2004,7,15,4,1750,2042,172,SJU,MCO,1189,15-07-2004 20:42
LAX_PHX_28664,2004,11,18,4,700,920,80,LAX,PHX,370,18-11-2004 09:20
DFW_MSY_45162,2004,7,4,7,1730,1907,97,DFW,MSY,448,04-07-2004 19:07
IAD_CAE_34424,2004,11,23,2,1235,1358,83,IAD,CAE,401,23-11-2004 15:11
IAD_ATL_25741,2004,9,4,6,1530,1726,116,IAD,ATL,533,04-09-2004 17:26
SEA_DEN_28872,2004,5,17,1,601,930,149,SEA,DEN,1024,17-05-2004 09:30
DFW_BTR_46028,2004,9,4,6,1535,1655,80,DFW,BTR,383,04-09-2004 16:55
TPA_PIT_53721,2004,7,9,5,1430,1652,142,TPA,PIT,873,09-07-2004 16:52
PHX_EWR_46160,2004,9,28,2,805,1538,273,PHX,EWR,2133,28-09-2004 18:00
BOS_RSW_47586,2004,3,22,1,700,1036,216,BOS,RSW,1249,22-03-2004 10:36
SEA_ONT_30623,2004,3,31,3,640,907,147,SEA,ONT,956,31-03-2004 09:07
GRR_ATL_41560,2004,7,10,6,635,852,137,GRR,ATL,640,10-07-2004 08:52
DEN_ATL_26235,2004,5,8,6,1120,1610,170,DEN,ATL,1199,08-05-2004 16:10
BNA_LGA_45991,2004,3,29,1,1545,1852,127,BNA,LGA,764,29-03-2004 20:42
BUF_ORD_48085,2004,9,10,5,1027,1110,103,BUF,ORD,473,10-09-2004 11:10
IAH_CLT_31262,2004,7,28,3,1600,1944,164,IAH,CLT,913,28-07-2004 19:44
LGA_PIT_49580,2004,9,3,5,1045,1215,90,LGA,PIT,335,03-09-2004 12:15
RIC_ORD_32066,2004,9,10,5,1655,1811,136,RIC,ORD,642,10-09-2004 18:11
ORD_STL_51330,2004,7,3,6,1650,1804,74,ORD,STL,258,03-07-2004 18:04
SFO_SEA_38012,2004,5,6,4,1300,1505,125,SFO,SEA,679,06-05-2004 15:05
ABI_IAH_40855,2004,11,22,1,630,758,88,ABI,IAH,307,22-11-2004 10:55
BDL_PIT_48603,2004,11,10,3,1755,1924,89,BDL,PIT,406,10-11-2004 19:24
FLL_CLE_45262,2004,3,13,6,1600,1847,167,FLL,CLE,1062,13-03-2004 18:47
EWR_MIA_28790,2004,5,21,5,905,1214,189,EWR,MIA,1086,21-05-2004 14:01
CLE_BNA_31591,2004,3,19,5,745,820,95,CLE,BNA,448,19-03-2004 08:20
MSP_LAX_27275,2004,3,24,3,1418,1608,230,MSP,LAX,1536,24-03-2004 16:08
DFW_LAS_33828,2004,7,19,1,1200,1249,169,DFW,LAS,1055,19-07-2004 12:49
CLE_SDF_48857,2004,5,13,4,935,1058,83,CLE,SDF,304,13-05-2004 10:58
PDX_PHX_38679,2004,5,23,7,825,1054,149,PDX,PHX,1009,23-05-2004 10:54
DEN_MCO_43122,2004,9,22,3,830,1353,203,DEN,MCO,1545,22-09-2004 13:53
BOS_PIT_49759,2004,5,1,6,845,1031,106,BOS,PIT,496,01-05-2004 10:31
LAN_CVG_51762,2004,11,6,6,1302,1408,66,LAN,CVG,258,06-11-2004 14:08
PIT_ATL_47712,2004,7,4,7,1755,1941,106,PIT,ATL,526,04-07-2004 19:41
ATL_HOU_40509,2004,9,4,6,1722,1833,131,ATL,HOU,696,04-09-2004 20:20
ONT_SMF_42089,2004,5,5,3,1630,1745,75,ONT,SMF,389,05-05-2004 17:45
PHX_MSP_33204,2004,5,6,4,1200,1710,190,PHX,MSP,1276,06-05-2004 17:10
ATL_DCA_48607,2004,11,3,3,930,1105,95,ATL,DCA,547,03-11-2004 11:05
RDD_SFO_47865,2004,9,6,1,1035,1145,70,RDD,SFO,199,06-09-2004 11:45
LAX_AUS_36691,2004,7,31,6,1715,2215,180,LAX,AUS,1242,31-07-2004 22:15
HOU_STL_41819,2004,3,12,5,735,930,115,HOU,STL,687,12-03-2004 09:30
IAH_RDU_55609,2004,5,24,1,1035,1405,150,IAH,RDU,1043,24-05-2004 14:05
LAS_CVG_29830,2004,11,9,2,1520,2158,218,LAS,CVG,1678,09-11-2004 21:58
CLT_SAV_25696,2004,9,12,7,1020,1123,63,CLT,SAV,213,12-09-2004 11:23
ATW_ATL_37471,2004,11,29,1,1145,1456,131,ATW,ATL,765,29-11-2004 14:56
MSP_JFK_55625,2004,9,14,2,726,1058,152,MSP,JFK,1028,14-09-2004 12:47
MIA_DFW_39470,2004,11,15,1,1147,1352,185,MIA,DFW,1121,15-11-2004 13:52
DEN_SLC_47047,2004,1,3,6,610,735,85,DEN,SLC,391,03-01-2004 09:22
ORD_DTW_45170,2004,5,15,6,1757,2014,77,ORD,DTW,235,15-05-2004 20:14
OAK_IAD_48154,2004,11,10,3,855,1650,295,OAK,IAD,2408,10-11-2004 16:50
IAD_LAX_46420,2004,5,17,1,830,1100,330,IAD,LAX,2288,17-05-2004 11:00
CVG_MEM_43365,2004,7,6,2,1615,1650,95,CVG,MEM,403,06-07-2004 16:50
MCI_CVG_48204,2004,9,4,6,1207,1448,101,MCI,CVG,539,04-09-2004 14:48
HOU_BNA_55587,2004,11,28,7,1550,1735,105,HOU,BNA,670,28-11-2004 17:35
ORD_DEN_45066,2004,5,14,5,1706,1847,161,ORD,DEN,888,14-05-2004 19:31
DTW_IAH_49308,2004,7,14,3,1456,1650,174,DTW,IAH,1076,14-07-2004 16:50
ATL_MEM_27157,2004,11,11,4,1551,1614,83,ATL,MEM,332,11-11-2004 16:14
BTV_CVG_50628,2004,5,28,5,1145,1353,128,BTV,CVG,702,28-05-2004 13:53
JFK_DFW_55378,2004,9,4,6,830,1105,215,JFK,DFW,1391,04-09-2004 11:05
SDF_EWR_53107,2004,9,18,6,1430,1634,124,SDF,EWR,642,18-09-2004 16:34
ATL_TYS_43148,2004,5,5,3,1436,1540,64,ATL,TYS,152,05-05-2004 15:40
MYR_ATL_28936,2004,9,30,4,930,1107,97,MYR,ATL,317,30-09-2004 11:07
IAH_SJU_43422,2004,3,20,6,1335,1949,254,IAH,SJU,2007,20-03-2004 19:49
ABQ_LAX_28280,2004,9,28,2,1155,1255,120,ABQ,LAX,677,28-09-2004 12:55
OAK_SEA_45056,2004,11,19,5,715,919,124,OAK,SEA,671,19-11-2004 09:19
TPA_CVG_52934,2004,9,16,4,1600,1819,139,TPA,CVG,773,16-09-2004 18:19
HOU_MDW_26825,2004,5,1,6,1050,1315,145,HOU,MDW,937,01-05-2004 14:49
JAX_ATL_44320,2004,7,14,3,600,705,65,JAX,ATL,270,14-07-2004 07:05
MSP_LGA_37633,2004,9,8,3,1528,1908,160,MSP,LGA,1020,08-09-2004 20:56
ANC_AKN_49207,2004,3,9,2,1425,1528,63,ANC,AKN,289,09-03-2004 15:28
CHO_ATL_44826,2004,5,28,5,1750,1930,100,CHO,ATL,457,28-05-2004 19:30
MAF_DAL_36882,2004,9,7,2,1620,1725,65,MAF,DAL,319,07-09-2004 17:25
ATL_PHL_54135,2004,7,19,1,840,1050,130,ATL,PHL,665,19-07-2004 10:50
VLD_ATL_32036,2004,11,11,4,950,1058,68,VLD,ATL,208,11-11-2004 13:46
ATL_TPA_47733,2004,5,16,7,638,759,81,ATL,TPA,406,16-05-2004 07:59
BUF_PHL_50084,2004,9,27,1,745,858,73,BUF,PHL,279,27-09-2004 08:58
MCO_MIA_54535,2004,11,12,5,1613,1714,61,MCO,MIA,193,12-11-2004 17:14
ORD_SLC_48961,2004,5,31,1,745,1008,203,ORD,SLC,1249,31-05-2004 10:08
DFW_MSP_30539,2004,9,25,6,904,1123,139,DFW,MSP,852,25-09-2004 11:23
ATL_BTR_54297,2004,7,2,5,1420,1453,93,ATL,BTR,449,02-07-2004 16:38
LGA_BNA_30265,2004,5,7,5,1020,1150,150,LGA,BNA,764,07-05-2004 11:50
BOS_DCA_32791,2004,7,15,4,1300,1430,90,BOS,DCA,399,15-07-2004 14:30
BTV_EWR_43701,2004,9,30,4,1030,1140,70,BTV,EWR,266,30-09-2004 11:40
APF_ATL_31816,2004,11,22,1,700,845,105,APF,ATL,540,22-11-2004 08:45
DCA_LGA_44080,2004,7,11,7,1700,1815,75,DCA,LGA,214,11-07-2004 18:15
EWR_CLE_37064,2004,3,4,4,645,828,103,EWR,CLE,404,04-03-2004 10:28
ALB_CVG_41892,2004,9,5,7,1740,1939,119,ALB,CVG,623,05-09-2004 19:39
DTW_ATL_49688,2004,11,12,5,1024,1219,115,DTW,ATL,594,12-11-2004 12:19
LAS_ISP_50326,2004,9,9,4,1255,2055,300,LAS,ISP,2283,09-09-2004 20:55
ABY_ATL_26815,2004,7,3,6,1645,1747,62,ABY,ATL,146,03-07-2004 19:05
DSM_ATL_36218,2004,7,31,6,1141,1451,130,DSM,ATL,743,31-07-2004 14:51
AMA_LAS_54327,2004,7,1,4,740,740,120,AMA,LAS,758,01-07-2004 07:40
CAE_LGA_43797,2004,11,28,7,1535,1726,111,CAE,LGA,617,28-11-2004 17:26
BOS_CLT_43212,2004,11,23,2,850,1110,140,BOS,CLT,728,23-11-2004 13:49
HSV_DFW_45523,2004,9,22,3,1253,1451,118,HSV,DFW,603,22-09-2004 14:51
BHM_JAX_30799,2004,7,26,1,1625,1835,70,BHM,JAX,365,26-07-2004 19:57
SGF_ORD_53500,2004,7,16,5,1432,1555,83,SGF,ORD,438,16-07-2004 15:55
EWR_RIC_36805,2004,9,22,3,1625,1749,84,EWR,RIC,278,22-09-2004 17:49
LAX_SJC_35300,2004,11,5,5,800,908,68,LAX,SJC,308,05-11-2004 09:08
MSO_SLC_45213,2004,5,21,5,1640,1757,77,MSO,SLC,436,21-05-2004 17:57
ATL_BUF_48518,2004,11,22,1,1240,1438,118,ATL,BUF,712,22-11-2004 15:29
DSM_DFW_49929,2004,3,5,5,1600,1801,121,DSM,DFW,624,05-03-2004 18:34
MSP_BIL_43273,2004,5,7,5,1135,1243,128,MSP,BIL,748,07-05-2004 12:43
DEN_RNO_51824,2004,7,23,5,1518,1629,131,DEN,RNO,804,23-07-2004 18:18
ATL_MCO_43516,2004,11,4,4,1640,1803,83,ATL,MCO,403,04-11-2004 18:03
ATL_MEM_38616,2004,3,1,1,818,847,89,ATL,MEM,332,01-03-2004 08:47
EWR_LAX_55359,2004,9,15,3,845,1153,368,EWR,LAX,2454,15-09-2004 14:47
DFW_ATL_33276,2004,7,20,2,535,848,133,DFW,ATL,732,20-07-2004 10:25
IAH_JAX_35641,2004,7,24,6,1030,1343,133,IAH,JAX,817,24-07-2004 16:04
DCA_PHX_42029,2004,3,8,1,1630,1930,300,DCA,PHX,1979,08-03-2004 19:30
DEN_ICT_40640,2004,11,6,6,1226,1445,79,DEN,ICT,419,06-11-2004 14:45
LAX_SJC_52895,2004,3,11,4,1555,1707,72,LAX,SJC,308,11-03-2004 17:07
DFW_XNA_36137,2004,11,18,4,845,953,68,DFW,XNA,281,18-11-2004 09:53
BWI_CLT_32628,2004,11,26,5,1000,1120,80,BWI,CLT,361,26-11-2004 11:20
DFW_ELP_40606,2004,11,30,2,1553,1639,106,DFW,ELP,551,30-11-2004 17:45
MEM_SFO_26655,2004,7,23,5,901,1111,250,MEM,SFO,1807,23-07-2004 11:11
PIT_MCO_49606,2004,7,1,4,1205,1416,131,PIT,MCO,834,01-07-2004 14:16
ABQ_DFW_46516,2004,9,1,3,1347,1626,99,ABQ,DFW,569,01-09-2004 16:26
DFW_AMA_39316,2004,7,31,6,1800,1914,74,DFW,AMA,313,31-07-2004 19:14
ATL_CMH_55630,2004,5,15,6,1230,1356,86,ATL,CMH,446,15-05-2004 13:56
BTR_ATL_31740,2004,7,14,3,610,849,99,BTR,ATL,449,14-07-2004 08:49
DCA_LGA_53539,2004,3,12,5,1500,1615,75,DCA,LGA,214,12-03-2004 16:15
JFK_SAN_39706,2004,11,12,5,755,1110,375,JFK,SAN,2446,12-11-2004 11:10
IND_IAH_44130,2004,5,23,7,1410,1641,151,IND,IAH,845,23-05-2004 16:41
ATL_FNT_34282,2004,1,3,6,1615,1813,118,ATL,FNT,644,03-01-2004 18:13
FLL_ATL_35292,2004,3,3,3,935,1126,111,FLL,ATL,581,03-03-2004 11:26
PWM_ORD_51289,2004,9,13,1,1614,1749,155,PWM,ORD,900,13-09-2004 17:49
PHL_ORD_51410,2004,11,23,2,800,920,140,PHL,ORD,678,23-11-2004 12:11
STT_MIA_39946,2004,7,16,5,1628,1911,163,STT,MIA,1107,16-07-2004 19:11
EWR_MSP_47358,2004,7,8,4,815,1006,171,EWR,MSP,1008,08-07-2004 10:06
MSY_DCA_43218,2004,3,18,4,1650,2008,138,MSY,DCA,969,18-03-2004 20:08
BNA_BDL_39330,2004,3,20,6,1520,1830,130,BNA,BDL,852,20-03-2004 20:20
IAH_EWR_37705,2004,9,21,2,1055,1531,216,IAH,EWR,1400,21-09-2004 15:31
DFW_MEM_44402,2004,3,28,7,1150,1314,84,DFW,MEM,432,28-03-2004 15:31
